[Tue  7 Jun 20:02:42 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 102 --- 144939
[Tue  7 Jun 20:02:43 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 103 --- 144939
[Tue  7 Jun 20:02:43 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 104 --- 144939
[Tue  7 Jun 20:02:44 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 105 --- 144939
[Tue  7 Jun 20:02:44 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 106 --- 144939
[Tue  7 Jun 20:02:44 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 107 --- 144939
[Tue  7 Jun 20:02:45 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 108 --- 144939
[Tue  7 Jun 20:02:45 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 109 --- 144939
[Tue  7 Jun 20:02:46 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 110 --- 144939
[Tue  7 Jun 20:02:46 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 111 --- 144939
[Tue  7 Jun 20:02:46 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 112 --- 144939
[Tue  7 Jun 20:02:47 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 113 --- 144939
[Tue  7 Jun 20:02:47 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 114 --- 144939
[Tue  7 Jun 20:02:47 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 115 --- 144939
[Tue  7 Jun 20:02:48 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 116 --- 144939
[Tue  7 Jun 20:02:48 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 117 --- 144939
[Tue  7 Jun 20:02:49 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 118 --- 144939
[Tue  7 Jun 20:02:49 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 119 --- 144939
[Tue  7 Jun 20:02:49 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 120 --- 144939
[Tue  7 Jun 20:02:50 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 121 --- 144939
[Tue  7 Jun 20:02:50 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 122 --- 144939
[Tue  7 Jun 20:02:51 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 123 --- 144939
[Tue  7 Jun 20:02:51 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 124 --- 144939
[Tue  7 Jun 20:02:51 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 125 --- 144939
[Tue  7 Jun 20:02:52 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 126 --- 144939
[Tue  7 Jun 20:02:52 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 127 --- 144939
[Tue  7 Jun 20:02:52 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 128 --- 144939
[Tue  7 Jun 20:02:53 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 129 --- 144939
[Tue  7 Jun 20:02:53 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 130 --- 144939
[Tue  7 Jun 20:02:54 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 131 --- 144939
[Tue  7 Jun 20:02:54 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 132 --- 144939
[Tue  7 Jun 20:02:54 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 133 --- 144939
[Tue  7 Jun 20:02:55 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 134 --- 144939
[Tue  7 Jun 20:02:55 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 135 --- 144939
[Tue  7 Jun 20:02:55 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 136 --- 144939
[Tue  7 Jun 20:02:56 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 137 --- 144939
[Tue  7 Jun 20:02:56 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 138 --- 144939
[Tue  7 Jun 20:02:57 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 139 --- 144939
[Tue  7 Jun 20:02:57 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 140 --- 144939
[Tue  7 Jun 20:02:57 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 141 --- 144939
[Tue  7 Jun 20:02:58 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 142 --- 144939
[Tue  7 Jun 20:02:58 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 143 --- 144939
[Tue  7 Jun 20:02:59 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 144 --- 144939
[Tue  7 Jun 20:02:59 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 145 --- 144939
[Tue  7 Jun 20:02:59 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 146 --- 144939
[Tue  7 Jun 20:03:00 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 147 --- 144939
[Tue  7 Jun 20:03:00 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 148 --- 144939
[Tue  7 Jun 20:03:01 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 149 --- 144939
[Tue  7 Jun 20:03:01 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 150 --- 144939
[Tue  7 Jun 20:03:01 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 151 --- 144939
[Tue  7 Jun 20:03:02 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 152 --- 144939
[Tue  7 Jun 20:03:02 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 153 --- 144939
[Tue  7 Jun 20:03:02 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 154 --- 144939
[Tue  7 Jun 20:03:03 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 155 --- 144939
[Tue  7 Jun 20:03:03 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 156 --- 144939
[Tue  7 Jun 20:03:04 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 157 --- 144939
[Tue  7 Jun 20:03:04 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 158 --- 144939
[Tue  7 Jun 20:03:04 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 159 --- 144939
[Tue  7 Jun 20:03:05 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 160 --- 144939
[Tue  7 Jun 20:03:05 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 161 --- 144939
[Tue  7 Jun 20:03:06 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 162 --- 144939
[Tue  7 Jun 20:03:06 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 163 --- 144939
